resource,link,description,type,purpose,cost
Open Library,http://openlibrary.org/,"Open Library is an open, editable library catalog, building towards a web page for every book ever published",Books,Exploration,Free
Archive,https://archive.org/,"Internet Archive is a non-profit library of millions of free books, movies, software, music, websites, and more.",Books,Exploration,Free
LibriVox,https://librivox.org/,"LibriVox audiobooks are free for anyone to listen to, on their computers, iPods or other mobile device, or to burn onto a CD.",Books,Exploration,Free
The Online Books Page,https://onlinebooks.library.upenn.edu/,Listing over 3 million free books on the Web,Books,Exploration,Free
Google Books,https://books.google.com/,Search the world's most comprehensive index of full-text books.,Books,Exploration,Low Cost
Project Gutenberg,https://www.gutenberg.org/,"Project Gutenberg is a library of over 60,000 free eBooks",Books,Exploration,Free
Khan Academy,https://www.khanacademy.org/,"Learn for free about math, art, computer programming, economics, physics, chemistry, biology, medicine, finance, history, and more.","Online Courses, Homework",Problem,Free
EdX,https://www.edx.org/,"edX is an American massive open online course provider created by Harvard and MIT. It hosts online university-level courses in a wide range of disciplines to a worldwide student body, including some courses at no charge.",Online Courses,"Exploration, Coursework","Free, Low Cost"
Coursera,https://www.coursera.org/,Coursera Inc. is a U.S.-based massive open online course provider founded in 2012 by Stanford University computer science professors Andrew Ng and Daphne Koller.,Online Courses,"Exploration, Coursework",Low Cost
Alison,https://alison.com/,Free online courses with certificates.,Online Courses,"Exploration, Credential",Free
CourseBuffet,https://www.coursebuffet.com/,"We find and organize free college courses from over 17 platforms and 200+ universities, enabling you to search for them in one spot.",Online Courses,"Exploration, Coursework",Free
CodeAcademy,https://www.codecademy.com/,"Codecademy is an American online interactive platform that offers free coding classes in 12 different programming languages including Python, Java, Go, JavaScript, Ruby, SQL, C++, C#, and Swift, as well as markup languages HTML and CSS.",Online Courses,"Exploration, Coursework",Free
FreeCodeCamp,https://www.freecodecamp.org/,"freeCodeCamp is a non-profit organization that consists of an interactive learning web platform, an online community forum, chat rooms, online publications and local organizations that intend to make learning web development accessible to anyone.",Online Courses,"Exploration, Coursework",Free
University of the People,https://www.uopeople.edu/,University of the people is a tuition-free online university for students from all over the world. Learn more about University at the People!,Online Degree,Credential,Low Cost
Memrise,https://www.memrise.com/,"Memrise is a British language platform that uses spaced repetition of flashcards to increase the rate of learning. It is based in London, UK. Memrise offers user-generated content on a wide range of other subjects.",Personal Development,Habit,Free
ZenHabits,https://zenhabits.net/,Zen Habits is a blog written by Leo Babauta about implementing zen habits in daily life. It offers suggestions for how to live and also includes frequent references to how Leo Babauta has implemented these habits.,Personal Development,Habit,Free
Mind Tools,https://www.mindtools.com,"Mind Tools offers more than 2,500 resources to help you develop your personal wellbeing and career skills.",Personal Development,Habit,Free
Babbel,https://www.babbel.com/,Babbel is the new way to learn a foreign language. The comprehensive learning system combines effective education methods with state-of-the-art technology.,Languages,"Exploration, Habit",Free
Drops,https://languagedrops.com/,"Word by word, Drops helps you learn new vocabulary through fun, fast-paced games with simple mnemonic images in just 5 minutes a day.",Languages,"Exploration, Habit",Free
Busuu,https://www.googleadservices.com/,"Busuu is a language learning platform on web, iOS and Android that allows users to interact with native speakers.",Languages,"Exploration, Habit",Free
Duolingo,https://www.duolingo.com/,"Duolingo is an American educational technology company which produces learning apps and provides language certification. On its main gamified language learning app, users can practice vocabulary, grammar, pronunciation and listening skills using spaced repetition.",Languages,"Exploration, Habit",Free
Anki,https://apps.ankiweb.net/,"Anki is a free and open-source flashcard program using spaced repetition, a technique from cognitive science for memorization. The name comes from the Japanese word for ""memorization"".",Continued Learning,Habit,Free
Now I Know,https://nowiknow.com/,Now I Know is a free daily newsletter; you'll learn something new every day.,Continued Learning,Habit,Free
Curious,https://curious.com/,"Join Curious.com and get a daily learning workout with daily curios, challenging puzzles, and 25000+ video lessons recommended just for you.",Continued Learning,Habit,Free
BigThink,https://bigthink.com/,Actionable lessons from the world's greatest thinkers and doers.,Continued Learning,Habit,Free
todayilearned,https://todayilearned.app/,"Did you ever wish you could grow faster, without as much pain and failure? Now you can!",Continued Learning,Habit,Free
Socratic,https://socratic.org/,"With help from teachers, Socratic brings you visual explanations of important concepts in each subject.",Homework,Problem,Free
GuidedAI: Rapid Learning,https://guided-ai.streamlit.app/#guided,"Guided leverages the latest developments in AI to comb through a list of prompts — math problems, book titles, a set of spiritual disciplines, etc — and provide summaries or answers for each one. This is a tool for rapidly downloading information to help you in your research and learning.",Guided,Batch,Free
GuidedAI: Ask AI,https://guided-ai.streamlit.app/#guided,"Each question may only have one answer, but one answer can inspire many questions. Guided focuses on asking good questions to focus your path towards better understanding.",Guided,"Problem, Exploration, Habit",Free
