State,Total credits,English,Math,Science,Arts,Social Studies,Education Score
Alabama,24,4,4,4,†,4,269
District of Columbia,24,4,4,4,1,4,269
New Mexico,24,4,4,3,†,3.5,269
Louisiana,23,4,4,2,†,2,272
West Virginia,24,4,4,3,1,4,272
Alaska,21,4,3,2,†,3,274
Arkansas,22,4.5,4,3,0.5,3,274
Mississippi,24,4,4,4,1,4,274
Nevada,22.5,4,3,2,†,2,274
Hawaii,24,4,3,3,†,4,275
California,13,3,2,2,†,3,276
Oklahoma,23,4,3,3,1,3,276
Rhode Island,20,4,4,3,†,3,276
South Carolina,24,4,4,3,†,3,276
Delaware,24,4,4,3,†,3,277
Kentucky,22,4,3,3,1,3,278
Florida,24,4,4,3,†,3,279
Georgia,23,4,4,4,†,3,279
Arizona,22,4,4,3,†,3,280
Maryland,21,4,3,3,1,3,280
Michigan,18,4,4,3,1,3,280
New York,22,4,3,3,1,4,280
Oregon,24,4,3,3,†,3,280
Tennessee,22,4,4,3,1,3.5,280
Texas,22,4,3,3,1,3,280
Missouri,24,4,3,3,1,3,281
Iowa,14,4,3,3,†,3,282
Kansas,21,4,3,3,1,3,282
Maine,11,4,2,2,1,2,282
Illinois,16.75,4,3,2,†,2,283
Montana,20,4,2,2,1,2,284
North Carolina,22,4,4,3,†,4,284
Colorado,LD,LD,LD,LD,LD,LD,285
Nebraska,20,4,3,3,†,3,285
Pennsylvania,LD,LD,LD,LD,LD,LD,285
Utah,24,4,3,3,1.5,3.5,285
Connecticut,20,4,3,2,†,3,286
Idaho,23,4.5,3,3,1,2.5,286
Indiana,20,4,3,3,†,3,286
North Dakota,22,4,3,3,†,3,286
Ohio,20,4,4,3,†,3,286
Washington,20,4,3,2,1,3,286
Wyoming,13,4,3,3,†,3,286
New Hampshire,20,4,3,2,0.5,2.5,287
South Dakota,22,4,3,3,1,3.5,287
Vermont,20,4,3,3,1,3,287
Virginia,22,4,3,3,†,4,287
Wisconsin,23.5,4,3,3,†,3,289
Minnesota,21.5,4,3,3,1,3.5,291
New Jersey,24,4,3,3,1,4.5,292
Massachusetts,LD,LD,LD,LD,LD,LD,294
